recording_id,participant_id,session_id,stimulus_id,onset,medial,nucleus,coda,ipa,pinyin,ascii,tone,is_attested,audio_path,sample_rate,duration_sec,peak_amplitude,rms,clipping_ratio,quality_pass,quality_reason,speaker_type,mandarin_background,created_at
c14b15a0-33f9-4065-b769-f43ba50cb538,p001,s001,juan2,t͡ɕ,w,a,n,t͡ɕuan,juán,juan,2,unknown,/Users/kaze7539/proj/mandarin_tone_recorder/data/audio/p001/c14b15a0-33f9-4065-b769-f43ba50cb538_juan2.wav,44100,1.38,0.52232,0.05359,0.0,True,OK,learner,"I had 3 semesters in college, then started relearning",2026-05-01T03:47:39.213919+00:00
578467ee-a36a-4840-a5c4-dbfb6c426e23,p001,s001,juan2,t͡ɕ,w,a,n,t͡ɕuan,juán,juan,2,unknown,/Users/kaze7539/proj/mandarin_tone_recorder/data/audio/p001/578467ee-a36a-4840-a5c4-dbfb6c426e23_juan2.wav,44100,1.38,0.52232,0.05359,0.0,True,OK,learner,"I had 3 semesters in college, then started relearning",2026-05-01T03:47:44.587753+00:00
ef7bc087-b80f-4d5e-a5e9-ba9e8c4f715f,p001,s001,juan2,t͡ɕ,w,a,n,t͡ɕuan,juán,juan,2,unknown,/Users/kaze7539/proj/mandarin_tone_recorder/data/audio/p001/ef7bc087-b80f-4d5e-a5e9-ba9e8c4f715f_juan2.wav,44100,1.38,0.52232,0.05359,0.0,True,OK,learner,"I had 3 semesters in college, then started relearning",2026-05-01T03:47:48.108493+00:00
7b4952ad-4b0b-4f65-b719-62500beb950c,p001,s001,juan2,t͡ɕ,w,a,n,t͡ɕuan,juán,juan,2,unknown,/Users/kaze7539/proj/mandarin_tone_recorder/data/audio/p001/7b4952ad-4b0b-4f65-b719-62500beb950c_juan2.wav,44100,1.38,0.52232,0.05359,0.0,True,OK,learner,"I had 3 semesters in college, then started relearning",2026-05-01T03:47:50.170544+00:00
b7822c29-04fd-4c8f-9f50-af0000116704,p001,s001,juan2,t͡ɕ,w,a,n,t͡ɕuan,juán,juan,2,unknown,/Users/kaze7539/proj/mandarin_tone_recorder/data/audio/p001/b7822c29-04fd-4c8f-9f50-af0000116704_juan2.wav,44100,1.38,0.52232,0.05359,0.0,True,OK,learner,"I had 3 semesters in college, then started relearning",2026-05-01T03:47:50.727972+00:00
19e54434-a70f-4696-8a52-7d517347f63c,p001,s001,gun3,g,w,ə,n,guən,gǔn,gun,3,unknown,/Users/kaze7539/proj/mandarin_tone_recorder/data/audio/p001/19e54434-a70f-4696-8a52-7d517347f63c_gun3.wav,44100,1.38,0.52232,0.05359,0.0,True,OK,learner,"I had 3 semesters in college, then started relearning",2026-05-01T03:48:35.605221+00:00
77ae36d1-eaae-4c89-a162-090d7bf86bdd,p001,s001,rao3,ʐ,,a,u,ʐau,rǎo,rao,3,unknown,/Users/kaze7539/proj/mandarin_tone_recorder/data/audio/p001/77ae36d1-eaae-4c89-a162-090d7bf86bdd_rao3.wav,44100,1.38,0.52232,0.05359,0.0,True,OK,learner,"I had 3 semesters in college, then started relearning",2026-05-01T03:49:03.991872+00:00
