onset,medial,nucleus,coda,ipa,pinyin,ascii
ʂ,w,ə,i,ʂuei,shui,shui
ʂ,w,ə,n,ʂuən,shun,shun
#ʂ,w,ə,ŋ,ʂuəŋ,shueng,shueng
ʂ,w,a,,ʂua,shua,shua #!
ʂ,w,a,i,ʂuai,shuai,shuai
ʂ,w,a,n,ʂuan,shuan,shuan
ʂ,w,a,ŋ,ʂuaŋ,shuang,shuang
#ʂ,ɥ,ə,,ʂyɛ,shüe,shve
#ʂ,ɥ,a,n,ʂyɛn,shüan,shvan
#ʐ,,,,ʐ,r,r
ʐ,,i,,ʐɻ̩,ri,ri #!
#ʐ,,i,n,ʐin,rin,rin
#ʐ,,i,ŋ,ʐiŋ,ring,ring
ʐ,,u,,ʐu,ru,ru
ʐ,,ʊ,ŋ,ʐʊŋ,rong,rong
#ʐ,,y,,ʐy,rü,rv
#ʐ,,y,n,ʐyn,rün,rvn
ʐ,,ə,,ʐɤ,re,re #!
#ʐ,,ə,i,ʐei,rei,rei
ʐ,,ə,u,ʐou,rou,rou
ʐ,,ə,n,ʐən,ren,ren
ʐ,,ə,ŋ,ʐəŋ,reng,reng #!
#ʐ,,a,,ʐa,ra,ra
#ʐ,,a,i,ʐai,rai,rai
ʐ,,a,u,ʐau,rao,rao
ʐ,,a,n,ʐan,ran,ran
ʐ,,a,ŋ,ʐaŋ,rang,rang
#ʐ,j,ʊ,ŋ,ʐjʊŋ,riong,riong
#ʐ,j,ə,,ʐjɛ,rie,rie
#ʐ,j,ə,u,ʐjou,riu,riu
#ʐ,j,a,,ʐja,ria,ria
#ʐ,j,a,u,ʐjau,riao,riao
#ʐ,j,a,n,ʐjɛn,rian,rian
#ʐ,j,a,ŋ,ʐjaŋ,riang,riang
ʐ,w,ə,,ʐuo,ruo,ruo #!
ʐ,w,ə,i,ʐuei,rui,rui
ʐ,w,ə,n,ʐuən,run,run #!
#ʐ,w,ə,ŋ,ʐuəŋ,rueng,rueng
ʐ,w,a,,ʐua,rua,rua
#ʐ,w,a,i,ʐuai,ruai,ruai
ʐ,w,a,n,ʐuan,ruan,ruan #!
#ʐ,w,a,ŋ,ʐuaŋ,ruang,ruang
#ʐ,ɥ,ə,,ʐyɛ,rüe,rve
#ʐ,ɥ,a,n,ʐyɛn,rüan,rvan
#t͡s,,,,t͡s,z,z
t͡s,,i,,t͡sɿ,zi,zi
#t͡s,,i,n,t͡sin,zin,zin
#t͡s,,i,ŋ,t͡siŋ,zing,zing
t͡s,,u,,t͡su,zu,zu
t͡s,,ʊ,ŋ,t͡sʊŋ,zong,zong
#t͡s,,y,,t͡sy,zü,zv
#t͡s,,y,n,t͡syn,zün,zvn
t͡s,,ə,,t͡sɤ,ze,ze
t͡s,,ə,i,t͡sei,zei,zei #!
t͡s,,ə,u,t͡sou,zou,zou
t͡s,,ə,n,t͡sən,zen,zen #!
t͡s,,ə,ŋ,t͡səŋ,zeng,zeng
t͡s,,a,,t͡sa,za,za
t͡s,,a,i,t͡sai,zai,zai
t͡s,,a,u,t͡sau,zao,zao
t͡s,,a,n,t͡san,zan,zan
t͡s,,a,ŋ,t͡saŋ,zang,zang
#t͡s,j,ʊ,ŋ,t͡sjʊŋ,ziong,ziong
#t͡s,j,ə,,t͡sjɛ,zie,zie
#t͡s,j,ə,u,t͡sjou,ziu,ziu
#t͡s,j,a,,t͡sja,zia,zia
#t͡s,j,a,u,t͡sjau,ziao,ziao
#t͡s,j,a,n,t͡sjɛn,zian,zian
#t͡s,j,a,ŋ,t͡sjaŋ,ziang,ziang
t͡s,w,ə,,t͡suo,zuo,zuo
t͡s,w,ə,i,t͡suei,zui,zui
t͡s,w,ə,n,t͡suən,zun,zun #!
#t͡s,w,ə,ŋ,t͡suəŋ,zueng,zueng
#t͡s,w,a,,t͡sua,zua,zua
#t͡s,w,a,i,t͡suai,zuai,zuai
t͡s,w,a,n,t͡suan,zuan,zuan #!
#t͡s,w,a,ŋ,t͡suaŋ,zuang,zuang
#t͡s,ɥ,ə,,t͡syɛ,züe,zve
#t͡s,ɥ,a,n,t͡syɛn,züan,zvan
#t͡sʰ,,,,t͡sʰ,c,c
t͡sʰ,,i,,t͡sʰɿ,ci,ci
#t͡sʰ,,i,n,t͡sʰin,cin,cin
#t͡sʰ,,i,ŋ,t͡sʰiŋ,cing,cing
t͡sʰ,,u,,t͡sʰu,cu,cu
t͡sʰ,,ʊ,ŋ,t͡sʰʊŋ,cong,cong
#t͡sʰ,,y,,t͡sʰy,cü,cv
#t͡sʰ,,y,n,t͡sʰyn,cün,cvn
t͡sʰ,,ə,,t͡sʰɤ,ce,ce
t͡sʰ,,ə,i,t͡sʰei,cei,cei #!
t͡sʰ,,ə,u,t͡sʰou,cou,cou #!
t͡sʰ,,ə,n,t͡sʰən,cen,cen
t͡sʰ,,ə,ŋ,t͡sʰəŋ,ceng,ceng
t͡sʰ,,a,,t͡sʰa,ca,ca #!
t͡sʰ,,a,i,t͡sʰai,cai,cai
t͡sʰ,,a,u,t͡sʰau,cao,cao
t͡sʰ,,a,n,t͡sʰan,can,can
t͡sʰ,,a,ŋ,t͡sʰaŋ,cang,cang
#t͡sʰ,j,ʊ,ŋ,t͡sʰjʊŋ,ciong,ciong
#t͡sʰ,j,ə,,t͡sʰjɛ,cie,cie
#t͡sʰ,j,ə,u,t͡sʰjou,ciu,ciu
#t͡sʰ,j,a,,t͡sʰja,cia,cia
#t͡sʰ,j,a,u,t͡sʰjau,ciao,ciao
#t͡sʰ,j,a,n,t͡sʰjɛn,cian,cian
#t͡sʰ,j,a,ŋ,t͡sʰjaŋ,ciang,ciang
t͡sʰ,w,ə,,t͡sʰuo,cuo,cuo
t͡sʰ,w,ə,i,t͡sʰuei,cui,cui
t͡sʰ,w,ə,n,t͡sʰuən,cun,cun
#t͡sʰ,w,ə,ŋ,t͡sʰuəŋ,cueng,cueng
#t͡sʰ,w,a,,t͡sʰua,cua,cua
#t͡sʰ,w,a,i,t͡sʰuai,cuai,cuai
t͡sʰ,w,a,n,t͡sʰuan,cuan,cuan #!
#t͡sʰ,w,a,ŋ,t͡sʰuaŋ,cuang,cuang
#t͡sʰ,ɥ,ə,,t͡sʰyɛ,cüe,cve
#t͡sʰ,ɥ,a,n,t͡sʰyɛn,cüan,cvan
#s,,,,s,s,s
s,,i,,sɿ,si,si
#s,,i,n,sin,sin,sin
#s,,i,ŋ,siŋ,sing,sing
s,,u,,su,su,su
s,,ʊ,ŋ,sʊŋ,song,song
#s,,y,,sy,sü,sv
#s,,y,n,syn,sün,svn
s,,ə,,sɤ,se,se
#s,,ə,i,sei,sei,sei
s,,ə,u,sou,sou,sou
s,,ə,n,sən,sen,sen #!
s,,ə,ŋ,səŋ,seng,seng #!
s,,a,,sa,sa,sa
s,,a,i,sai,sai,sai
s,,a,u,sau,sao,sao
s,,a,n,san,san,san
s,,a,ŋ,saŋ,sang,sang
#s,j,ʊ,ŋ,sjʊŋ,siong,siong
#s,j,ə,,sjɛ,sie,sie
#s,j,ə,u,sjou,siu,siu
#s,j,a,,sja,sia,sia
#s,j,a,u,sjau,siao,siao
#s,j,a,n,sjɛn,sian,sian
#s,j,a,ŋ,sjaŋ,siang,siang
s,w,ə,,suo,suo,suo
s,w,ə,i,suei,sui,sui
s,w,ə,n,suən,sun,sun
#s,w,ə,ŋ,suəŋ,sueng,sueng
#s,w,a,,sua,sua,sua
#s,w,a,i,suai,suai,suai
s,w,a,n,suan,suan,suan
#s,w,a,ŋ,suaŋ,suang,suang
#s,ɥ,ə,,syɛ,süe,sve
#s,ɥ,a,n,syɛn,süan,svan
